,category,l2_category,question_id,question_en,question_kr,options,answer_type,question,answer,correct
82,coarse perception,image scene and topic,147.0,"Which of the following captions best describes this image?
 ","
다음 캡션 중 이 이미지를 가장 잘 설명하는 것은?
옵션: A: 모닥불 주위에 앉아 있는 사람들, B: 호수에서 카약을 타는 사람, C: 공원에서 피크닉을 하는 가족, D: 산길을 하이킹하는 사람."""," A: A group of people sitting around a campfire, B: A person kayaking on a lake, C: A family having a picnic in a park, D: A person hiking on a mountain trail",choice,,,
83,fine-grained perception,recognition,397.0,"What is the color of the watch worn by a person in the image?
 ","
이미지 속 사람이 착용한 시계의 색상은 무엇입니까?
옵션: A: 흰색, B: 검은색, C: 은색, D: 금색"""," A: White, B: Black, C: Silver, D: Gold",choice,,,
84,fine-grained perception,recognition,360.0,"What color is the microphone in the image?
 ","
이미지 속 마이크는 어떤 색인가요?
옵션: A: 실버, B: 화이트, C: 블랙, D: 레드"""," A: Silver, B: White, C: Black, D: Red",choice,,,
85,fine-grained perception,object counting,315.0,"How many tables are there in the room?
 ","
방에 테이블이 몇 개 있습니까?
옵션: A: 테이블 4개, B: 테이블 2개, C: 테이블 3개, D: 테이블 1개"""," A: Four tables, B: Two tables, C: Three tables, D: One table",choice,,,
86,fine-grained perception,object counting,307.0,"How many pillows can be seen in the bedroom?
 ","
침실에 베개가 몇 개나 보이나요?
옵션: A: 5, B: 4, C: 3, D: 6"""," A: 5, B: 4, C: 3, D: 6",choice,,,
87,fine-grained perception,object counting,260.0,"How many colors are the eyes of the depicted animals?
 ","
묘사된 동물들의 눈은 몇 가지 색입니까?
옵션: A: 둘, B: 하나, C: 셋, D: 넷"""," A: Two, B: One, C: Three, D: Four",choice,,,
88,fine-grained perception,recognition,431.0,"What type of ball is being held by the player?
 ","선수는 어떤 종류의 공을 들고 있나요?
 옵션: A: 테니스 공, B: 농구공, C: 배구공, D: 축구공"""," A: A tennis ball, B: A basketball, C: A volleyball, D: A soccer ball",choice,,,
89,fine-grained perception,localization,212.0,"What is the position of the person on stage?
 ","
무대 위에 있는 사람의 위치는 무엇입니까?
 옵션: A: 왼쪽에 서서, B: 가운데에 앉아, C: 앞쪽 바닥에 앉아, D: 오른쪽 기타에 기대어"""," A: Standing on the left side, B: Seated in the center, C: Sitting on the floor in front, D: Leaning on the guitar on the right side",choice,,,
90,fine-grained perception,localization,219.0,"Where is it?
 ","어디에 있나요?
 옵션: A: 상하이, B: 시안, C: 우한, D: 난징""
"," A: Shanghai, B: Xi'an, C: Wuhan, D: Nanjing",choice,,,
91,fine-grained perception,recognition,386.0,"What is the color of the number on the red and blue jersey in the image?
 ","""이미지에서 빨간색과 파란색 유니폼의 숫자 색상은 무엇입니까?
 옵션: A: 파란색, B: 빨간색, C: 주황색, D: 검은색"""," A: Blue, B: Red, C: Orange, D: Black",choice,,,
92,fine-grained perception,object counting,330.0,"How many wooden objects are in the image?
 ","
이미지에는 몇 개의 나무 물체가 있습니까?
 옵션: A: 1, B: 2, C: 3, D: 4"""," A: 1, B: 2, C: 3, D: 4",choice,,,
93,fine-grained perception,object counting,319.0,"How many tires can be seen in the image?
 ","
이미지에서 몇 개의 타이어를 볼 수 있습니까?
 옵션: A: 4, B: 3, C: 5, D: 6"""," A: 4, B: 3, C: 5, D: 6",choice,,,
94,fine-grained perception,recognition,447.0,"Who is the person in this image?
 ","
이 이미지 속 인물은 누구인가요?
 옵션: A: 코비 브라이언트, B: 징 우, C: 모건 프리먼, D: 제이 추"""," A: Kobe Bryant, B: Jing Wu, C: Morgan Freeman, D: Jay Chou",choice,,,
95,fine-grained perception,recognition,442.0,"Which scene category matches this image the best?
 ","
이 이미지와 가장 잘 어울리는 장면 카테고리는 무엇인가요?
 옵션: A: 숲_길, B: 박물관/실내, C: 창고_방, D: 골목""
"," A: forest_path, B: museum/indoor, C: storage_room, D: alley",choice,,,
96,fine-grained perception,recognition,383.0,"What is the color of the lettering on the green sign in the image?
 ","이미지의 녹색 표지판에 있는 글자의 색상은 무엇입니까?
 옵션: A: 검정, B: 파랑, C: 노랑, D: 흰색"""," A: Black, B: Blue, C: Yellow, D: White",choice,,,
97,fine-grained perception,recognition,375.0,"What is the color of the couch in the image?
 ","
이미지 속 소파의 색상은 무엇인가요?
 옵션: A: 베이지, B: 브라운, C: 탄, D: 그레이"""," A: Beige, B: Brown, C: Tan, D: Gray",choice,,,
98,fine-grained perception,object counting,292.0,"How many people are present in the image?
 ","
이미지에 몇 명이 있나요?
 옵션: A: 하나, B: 셋, C: 둘, D: 넷"""," A: One, B: Three, C: Two, D: Four",choice,,,
99,fine-grained perception,recognition,401.0,"What is the color scheme of the costumes worn by the men in the parade?
 ","퍼레이드에 참가한 남자들이 입은 의상의 색상 구성은 무엇입니까?
 옵션: A: 노란색, 빨간색, 금색, B: 빨간색, 파란색, 검은색, C: 녹색, 주황색, 흰색, D: 검은색, 흰색, 회색"""," A: Yellow, red, and gold, B: Red, blue, and black, C: Green, orange, and white, D: Black, white, and gray",choice,,,
1101,fine-grained perception,object counting,295.0,"How many people are standing on the stage in the image?
 ",," A: One, B: More than three, C: Three, D: Two",choice,"How many people are standing on the stage in the image?
 Options: A: One, B: More than three, C: Three, D: Two",D,0.0833333333333333
1229,instance reasoning,cross-instance attribute reasoning,493.0,"What is the relative position of the man and woman in the image?
 ",," A: They are facing each other, B: They are both facing forward, C: They are both facing the camera, D: They are both looking away from the camera",choice,"What is the relative position of the man and woman in the image?
 Options: A: They are facing each other, B: They are both facing forward, C: They are both facing the camera, D: They are both looking away from the camera",D,0.0
1037,logical reasoning,diagram reasoning,819.0,"<image 1> is the HRM Roles, David Ulrich (1997) model. According to Ulrich, if HR is to become and remain relevant in the current business environment, what is not something HR professionals must learn?
 ",," A: Manage human resources operations and infrastructure, B: Become the link between human resources and organizational strategy, C: Optimize the value of employees, D: Be a change agent with a long-term vision for the organization",choice,"<image 1> is the HRM Roles, David Ulrich (1997) model. According to Ulrich, if HR is to become and remain relevant in the current business environment, what is not something HR professionals must learn?
 Options: A: Manage human resources operations and infrastructure, B: Become the link between human resources and organizational strategy, C: Optimize the value of employees, D: Be a change agent with a long-term vision for the organization",C,0.0909090909090909
593,logical reasoning,diagram reasoning,919.0,"Which month has the lowest average precipitation in London?
 ",," A: July, B: February, C: November, D: nan",choice,"Which month has the lowest average precipitation in London?
 Options: A: July, B: February, C: November, D: nan",A,0.2
1283,instance reasoning,single-instance reasoning,609.0,"What is the dominant material of the cabinets in the image?
 ",," A: Ceramic, B: Metal, C: Wood, D: Glass",choice,"What is the dominant material of the cabinets in the image?
 Options: A: Ceramic, B: Metal, C: Wood, D: Glass",A,0.0
9,instance reasoning,cross-instance relation reasoning,569.0,"Which property do these three objects have in common?
 ",," A: blue, B: smooth, C: flexible, D: nan",choice,"Which property do these three objects have in common?
 Options: A: blue, B: smooth, C: flexible, D: nan",B,0.727272727272727
877,science & technology,biology & chemistry & physics,1247.0,"What is H in the diagram?
 ",," A: pith, B: protoxylem, C: cambium, D: metaxylem",choice,"What is H in the diagram?
 Options: A: pith, B: protoxylem, C: cambium, D: metaxylem",A,0.1
1269,instance reasoning,single-instance reasoning,660.0,"Where is the man playing the guitar located on the stage?
 ",," A: Left side of the stage, B: Middle of the stage, C: Right side of the stage, D: Behind the microphones",choice,"Where is the man playing the guitar located on the stage?
 Options: A: Left side of the stage, B: Middle of the stage, C: Right side of the stage, D: Behind the microphones",D,0.0
1102,coarse perception,image style & quality,168.0,"Which category does this image belong to?
 ",," A: MRI image, B: icon, C: microscopic image, D: abstract painting",choice,"Which category does this image belong to?
 Options: A: MRI image, B: icon, C: microscopic image, D: abstract painting",A,0.0833333333333333
210,science & technology,geography & earth science & agriculture,1411.0,"Which label indicates the earth's gravitational pull on the moon?
 ",," A: D, B: A, C: B, D: E",choice,"Which label indicates the earth's gravitational pull on the moon?
 Options: A: D, B: A, C: B, D: E",A,0.4
1271,instance reasoning,single-instance reasoning,669.0,"Which is right?
 ",," A: The orange is next to the apple, B: The apple is on the left, C: The orange is on the right, D: All above are not right",choice,"Which is right?
 Options: A: The orange is next to the apple, B: The apple is on the left, C: The orange is on the right, D: All above are not right",A,0.0
402,science & technology,biology & chemistry & physics,1214.0,"Leaf B is of which plant?
 ",," A: Celtis, B: Stem, C: Ulmus, D: Lotus",choice,"Leaf B is of which plant?
 Options: A: Celtis, B: Stem, C: Ulmus, D: Lotus",A,0.3
885,science & technology,biology & chemistry & physics,1215.0,"Letter A in the following diagram represents which stage?
 ",," A: attached planula, B: polyp, C: ephyra, D: planula",choice,"Letter A in the following diagram represents which stage?
 Options: A: attached planula, B: polyp, C: ephyra, D: planula",C,0.1
534,fine-grained perception,object counting,248.0,"How many archways are there in the image?
 ",," A: One, B: Four, C: Three, D: Two",choice,"How many archways are there in the image?
 Options: A: One, B: Four, C: Three, D: Two",D,0.25
518,fine-grained perception,recognition,395.0,"What is the color of the socks detected in the attribute detection of the image?
 ",," A: Black, B: Red, C: White, D: Striped",choice,"What is the color of the socks detected in the attribute detection of the image?
 Options: A: Black, B: Red, C: White, D: Striped",C,0.25
636,logical reasoning,diagram reasoning,882.0,"In the diagram shown, which organism consumes small fish as food?
 ",," A: mahi mahi, B: large shark, C: zooplankton, D: mackerel",choice,"In the diagram shown, which organism consumes small fish as food?
 Options: A: mahi mahi, B: large shark, C: zooplankton, D: mackerel",D,0.2
395,science & technology,electronics & energy & mechanical eng.,1327.0,"<image 1>The accompanying sketch shows the schematic arrangement for measuring the thermal conductivity by the guarded hot plate method. Two similar 1 cm thick specimens receive heat from a 6.5 cm by 6.5 cm guard heater. When the power dissipation by the wattmeter was 15 W, the thermocouples inserted at the hot and cold surfaces indicated temperatures as 325 K and 300 K. What is the thermal conductivity of the test specimen material?
 ",," A: 0.81 W/m K, B: 0.71 W/m K, C: 0.61 W/m K, D: 0.51 W/m K",choice,"<image 1>The accompanying sketch shows the schematic arrangement for measuring the thermal conductivity by the guarded hot plate method. Two similar 1 cm thick specimens receive heat from a 6.5 cm by 6.5 cm guard heater. When the power dissipation by the wattmeter was 15 W, the thermocouples inserted at the hot and cold surfaces indicated temperatures as 325 K and 300 K. What is the thermal conductivity of the test specimen material?
 Options: A: 0.81 W/m K, B: 0.71 W/m K, C: 0.61 W/m K, D: 0.51 W/m K",B,0.3
819,fine-grained perception,localization,221.0,"Where is the drum located in the image?
 ",," A: In the back, B: On the left side, C: On the right side, D: At the center",choice,"Where is the drum located in the image?
 Options: A: In the back, B: On the left side, C: On the right side, D: At the center",C,0.166666666666667
933,science & technology,electronics & energy & mechanical eng.,1367.0,"Which schedule is an equivalent serial schedule for the precendence graph in <image 1>?
 ",," A: T3 -> T1 -> T2, B: T2 -> T1 -> T3, C: T1 -> T2 -> T3, D: There are no serial schedules for the graph.",choice,"Which schedule is an equivalent serial schedule for the precendence graph in <image 1>?
 Options: A: T3 -> T1 -> T2, B: T2 -> T1 -> T3, C: T1 -> T2 -> T3, D: There are no serial schedules for the graph.",D,0.1
495,logical reasoning,code & sequence reasoning,711.0,"Which Python code can generate the content of the image?
 ",," A: from collections import Counter
 result = Counter('Canada')
 print(result), B: from collections import Counter
 result = Counter('strawberry')
 print(result), C: from collections import Counter
 result = Counter('banana')
 print(result), D: from collections import Counter
 result = Counter('apple')
 print(result)",choice,"Which Python code can generate the content of the image?
 Options: A: from collections import Counter
 result = Counter('Canada')
 print(result), B: from collections import Counter
 result = Counter('strawberry')
 print(result), C: from collections import Counter
 result = Counter('banana')
 print(result), D: from collections import Counter
 result = Counter('apple')
 print(result)",C,0.272727272727273
581,coarse perception,image scene and topic,54.0,"What is the general theme of this image?
 ",," A: Candy buffet, B: Ice cream sundae, C: Yogurt containers, D: Fruit desserts",choice,"What is the general theme of this image?
 Options: A: Candy buffet, B: Ice cream sundae, C: Yogurt containers, D: Fruit desserts",B,0.230769230769231
84,instance reasoning,cross-instance relation reasoning,551.0,"What can Rosa and Kylie trade to each get what they want?
 ",," A: Kylie can trade her almonds for Rosa's tomatoes., B: Rosa can trade her tomatoes for Kylie's broccoli., C: Rosa can trade her tomatoes for Kylie's carrots., D: Kylie can trade her broccoli for Rosa's oranges.",choice,"What can Rosa and Kylie trade to each get what they want?
 Options: A: Kylie can trade her almonds for Rosa's tomatoes., B: Rosa can trade her tomatoes for Kylie's broccoli., C: Rosa can trade her tomatoes for Kylie's carrots., D: Kylie can trade her broccoli for Rosa's oranges.",B,0.545454545454545
258,math,statistical reasoning,1178.0,"You are asked to compare two options with parameters as given. The risk-free interest rate should be assumed to be 6%. Assume the stocks on which these options are written pay no dividends. <image 1> Which put option must be written on the stock with the lower price?
 ",," A: A, B: B, C: Not enough information, D: nan",choice,"You are asked to compare two options with parameters as given. The risk-free interest rate should be assumed to be 6%. Assume the stocks on which these options are written pay no dividends. <image 1> Which put option must be written on the stock with the lower price?
 Options: A: A, B: B, C: Not enough information, D: nan",B,0.4
1225,instance reasoning,cross-instance attribute reasoning,504.0,"Where is the top of the purple bottle in relation to the man with the guitar?
 ",," A: Beside him, B: Above him, C: Below him, D: On his head",choice,"Where is the top of the purple bottle in relation to the man with the guitar?
 Options: A: Beside him, B: Above him, C: Below him, D: On his head",A,0.0
399,logical reasoning,diagram reasoning,913.0,"Which country is highlighted?
 ",," A: Saint Lucia, B: Jamaica, C: Haiti, D: Cuba",choice,"Which country is highlighted?
 Options: A: Saint Lucia, B: Jamaica, C: Haiti, D: Cuba",B,0.3
400,science & technology,biology & chemistry & physics,1196.0,"From the above food web diagram, if all th bettle dies then
 ",," A: guava increases, B: fungi decreases, C: bacteria increases, D: guava decreases",choice,"From the above food web diagram, if all th bettle dies then
 Options: A: guava increases, B: fungi decreases, C: bacteria increases, D: guava decreases",A,0.3
695,science & technology,biology & chemistry & physics,1230.0,"The manufacture of compound F requires five separate chemical reactions. The initial reactant, compound A, is converted to compound B, compound B is converted to compound C, and so on. The diagram below summarizes the steps in the manufacture of compound F, including the percent yield for each step. Provide the missing quantities or missing percent yields.Assume that the reactant and product in each step react in a one-to-one mole ratio. <image 1>
 ",," A: 20.0%,0.50 mol,0.05 mol,20.0%, B: 30.0%,0.50 mol,0.05 mol,20.0%, C: 40.0%,0.50 mol,0.05 mol,20.0%, D: 50.0%,0.50 mol,0.05 mol,20.0%",choice,"The manufacture of compound F requires five separate chemical reactions. The initial reactant, compound A, is converted to compound B, compound B is converted to compound C, and so on. The diagram below summarizes the steps in the manufacture of compound F, including the percent yield for each step. Provide the missing quantities or missing percent yields.Assume that the reactant and product in each step react in a one-to-one mole ratio. <image 1>
 Options: A: 20.0%,0.50 mol,0.05 mol,20.0%, B: 30.0%,0.50 mol,0.05 mol,20.0%, C: 40.0%,0.50 mol,0.05 mol,20.0%, D: 50.0%,0.50 mol,0.05 mol,20.0%",D,0.2
194,instance reasoning,single-instance reasoning,651.0,"What's the profession of the people in this picture?
 ",," A: mason, B: nurse, C: pilot, D: policeman",choice,"What's the profession of the people in this picture?
 Options: A: mason, B: nurse, C: pilot, D: policeman",D,0.454545454545455
615,science & technology,biology & chemistry & physics,1312.0,"Which picture represents Aculeate?
 ",," A: G, B: F, C: C, D: N",choice,"Which picture represents Aculeate?
 Options: A: G, B: F, C: C, D: N",B,0.2
700,logical reasoning,common reasoning,801.0,"What will happen next?
 ",," A: the girls is gonna turn the pan around, B: the pan itself is gonna fly into the woman's face, C: nothing is gonna happen, D: both A,B, and C",choice,"What will happen next?
 Options: A: the girls is gonna turn the pan around, B: the pan itself is gonna fly into the woman's face, C: nothing is gonna happen, D: both A,B, and C",B,0.2
429,science & technology,biology & chemistry & physics,1257.0,"What is the ATP in the diagram?
 ",," A: B, B: A, C: D, D: none of the above",choice,"What is the ATP in the diagram?
 Options: A: B, B: A, C: D, D: none of the above",A,0.3
98,instance reasoning,single-instance reasoning,626.0,"What's the function of the demonstrated object?
 ",," A: clean, B: measurement, C: Bulldozing, D: Cutting platform",choice,"What's the function of the demonstrated object?
 Options: A: clean, B: measurement, C: Bulldozing, D: Cutting platform",D,0.545454545454545
324,fine-grained perception,recognition,370.0,"What color is the writing on the sign in the image?
 ",," A: White, B: Green, C: Red, D: Black",choice,"What color is the writing on the sign in the image?
 Options: A: White, B: Green, C: Red, D: Black",D,0.333333333333333
696,math,statistical reasoning,1175.0,"The Booth Company's sales are forecasted to double from $1,000 in 2010 to $2,000 in 2011. Here is the December 31, 2010, balance sheet: <image 1> Booth's fixed assets were used to only 50% of capacity during 2010, but its current assets were at their proper levels in relation to sales. All assets except fixed assets must increase at the same rate as sales, and fixed assets would also have to increase at the same rate if the current excess capacity did not exist. Booth's after-tax profit margin is forecasted to be 5% and its payout ratio to be 60%. What is Booth's additional funds needed (AFN) for the coming year?
 ",," A: 360, B: Other Answers, C: nan, D: nan",choice,"The Booth Company's sales are forecasted to double from $1,000 in 2010 to $2,000 in 2011. Here is the December 31, 2010, balance sheet: <image 1> Booth's fixed assets were used to only 50% of capacity during 2010, but its current assets were at their proper levels in relation to sales. All assets except fixed assets must increase at the same rate as sales, and fixed assets would also have to increase at the same rate if the current excess capacity did not exist. Booth's after-tax profit margin is forecasted to be 5% and its payout ratio to be 60%. What is Booth's additional funds needed (AFN) for the coming year?
 Options: A: 360, B: Other Answers, C: nan, D: nan",A,0.2
996,science & technology,biology & chemistry & physics,1270.0,"What stage does D depict
 ",," A: Chrysalis, B: Egg, C: Caterpillar, D: Butterfly",choice,"What stage does D depict
 Options: A: Chrysalis, B: Egg, C: Caterpillar, D: Butterfly",B,0.1
685,science & technology,electronics & energy & mechanical eng.,1332.0,"Among the following binary trees, which one may become a binary search decision tree (excluding external nodes)
 ",," A: <image 1>, B: <image 2>, C: <image 3>, D: <image 4>",choice,"Among the following binary trees, which one may become a binary search decision tree (excluding external nodes)
 Options: A: <image 1>, B: <image 2>, C: <image 3>, D: <image 4>",A,0.2
787,fine-grained perception,recognition,425.0,"What is the shape of the window on the building in the image?
 ",," A: Square, B: Rectangle, C: Circle, D: Triangle",choice,"What is the shape of the window on the building in the image?
 Options: A: Square, B: Rectangle, C: Circle, D: Triangle",C,0.166666666666667
1160,instance reasoning,cross-instance relation reasoning,543.0,"In nature, what's the relationship between these two creatures?
 ",," A: Predatory relationships, B: Competitive relationships, C: Parasitic relationships, D: Symbiotic relationship",choice,"In nature, what's the relationship between these two creatures?
 Options: A: Predatory relationships, B: Competitive relationships, C: Parasitic relationships, D: Symbiotic relationship",B,0.0606060606060606
758,instance reasoning,single-instance reasoning,663.0,"Where is the sheep?
 ",," A: The sheep is behind the car, B: The sheep is in the front of the car, C: The sheep is on the right of the car, D: The sheep is on the left of the car",choice,"Where is the sheep?
 Options: A: The sheep is behind the car, B: The sheep is in the front of the car, C: The sheep is on the right of the car, D: The sheep is on the left of the car",B,0.181818181818182
224,coarse perception,image style & quality,181.0,"Which image is more brightful?
 ",," A: The first image, B: The second image, C: nan, D: nan",choice,"Which image is more brightful?
 Options: A: The first image, B: The second image, C: nan, D: nan",B,0.4
296,instance reasoning,cross-instance attribute reasoning,510.0,"Which image shows the highest sharpness?
 ",," A: upper left, B: upper right, C: down left, D: down right",choice,"Which image shows the highest sharpness?
 Options: A: upper left, B: upper right, C: down left, D: down right",B,0.363636363636364
