,0,
0,나요,It's me
1,빅 5 게임이 뭔지 모르겠어요,I don't know what Big 5 games are
2,투명색,transparent color
3,휜색,curved color
4,낮,Daytime
5,동물보호,animal protection
6,양말,socks
7,말,Horse
8,파랑,Blue
9,검정,Black
10,서류,document
11,음식,Food
12,날개,Wings.
13,12시,It's 12 o'clock
14,체육관,Gym
15,운동화,Sneakers
16,아파트,apartment
17,포유류,Mammal
18,공원,Park
19,벽,Walls
20,학교,School
21,테이블위,on the table
22,학생,Student
23,먹이,Food
24,운반,transportation
25,화장,Makeup
26,생일날,On my birthday
27,어두워서,It's dark
28,반바지,Shorts
29,여자,Woman
30,과속,Speeding
31,걷는다,I'm walking
32,신발,Shoes
33,고양이,Cat
34,노랑,Yellow
35,종이배,a paper boat
36,하양,White
37,핑크,Pink
38,박스,Box
39,커피,Coffee
40,바나나,Banana
41,과자,Snacks
42,나,I
43,9시,Nine O'clock
44,9시라구,It's nine o'clock
45,노후관련,related to old age
46,크록스,Crocs
47,사무실,Office
48,애완동물,Pets
49,정원,garden
50,딸,daughter
51,배고파서,I'm hungry
52,편하려구,It's going to be convenient
53,예쁘니까,Because it's pretty
54,없어서,I don't have it
55,무단횡단,Jaywalking
56,육식,meat and meat
57,방,Room
58,스쿨,School
59,홈,Home
60,내 앞에,In front of me
61,좋아하는 일을 해서,I'll do what I like
62,밤이여서,It's night time
63,김광현,Kim Kwang Hyun
64,돈,Money
65,없어요,Nobody.
66,실험해요,Let's do an experiment
67,학,Crane
68,봉고 블루,Bongo Blue
69,맥주,Beer
70,침대,Bed
71,밥,Rice
72,제육볶음,Jeyuk bokkeum
73,가발,Wig
74,11시8분,It's 11:08pm
75,쪼리,Flip flops
76,보편적인 건물,a universal building
77,건물 앞,in front of the building
78,침대 옆,by the bed
79,주머니,Pocket
80,친구 집,a friend's house
81,글쎄요,I doubt it.
82,글리터 발라서,I put on glitter
83,램프를 켜서,I'll turn on the lamp
84,밤이라서,Because it's night time